1,number_of_cluster_containing_1
2,number_of_cluster_containing_2
3,number_of_cluster_containing_3
4,number_of_cluster_containing_1
5,number_of_cluster_containing_4
6,number_of_cluster_containing_4
7,number_of_cluster_containing_4
8,number_of_cluster_containing_5
9,number_of_cluster_containing_6
10,number_of_cluster_containing_1
11,number_of_cluster_containing_7
12,number_of_cluster_containing_6
13,number_of_cluster_containing_8
14,number_of_cluster_containing_9
15,number_of_cluster_containing_1
16,number_of_cluster_containing_2
17,number_of_cluster_containing_10
18,number_of_cluster_containing_8
19,number_of_cluster_containing_2
20,number_of_cluster_containing_2
21,number_of_cluster_containing_11
22,number_of_cluster_containing_12
23,number_of_cluster_containing_9
24,number_of_cluster_containing_11
25,number_of_cluster_containing_9
26,number_of_cluster_containing_11
27,number_of_cluster_containing_9
28,number_of_cluster_containing_4
29,number_of_cluster_containing_10
30,number_of_cluster_containing_2
31,number_of_cluster_containing_3
32,number_of_cluster_containing_11
33,number_of_cluster_containing_11
34,number_of_cluster_containing_10
35,number_of_cluster_containing_8
36,number_of_cluster_containing_4
37,number_of_cluster_containing_6
38,number_of_cluster_containing_3
39,number_of_cluster_containing_9
40,number_of_cluster_containing_9
41,number_of_cluster_containing_8
42,number_of_cluster_containing_9
43,number_of_cluster_containing_5
44,number_of_cluster_containing_8
45,number_of_cluster_containing_6
46,number_of_cluster_containing_11
47,number_of_cluster_containing_4
48,number_of_cluster_containing_4
49,number_of_cluster_containing_7
50,number_of_cluster_containing_2
51,number_of_cluster_containing_4
52,number_of_cluster_containing_11
53,number_of_cluster_containing_3
54,number_of_cluster_containing_5
55,number_of_cluster_containing_10
56,number_of_cluster_containing_3
57,number_of_cluster_containing_4
58,number_of_cluster_containing_11
59,number_of_cluster_containing_1
60,number_of_cluster_containing_11
61,number_of_cluster_containing_5
62,number_of_cluster_containing_10
63,number_of_cluster_containing_10
64,number_of_cluster_containing_7
65,number_of_cluster_containing_5
66,number_of_cluster_containing_8
67,number_of_cluster_containing_9
68,number_of_cluster_containing_2
69,number_of_cluster_containing_3
70,number_of_cluster_containing_3
71,number_of_cluster_containing_12
72,number_of_cluster_containing_8
73,number_of_cluster_containing_3
74,number_of_cluster_containing_4
75,number_of_cluster_containing_5
76,number_of_cluster_containing_5
77,number_of_cluster_containing_9
78,number_of_cluster_containing_7
79,number_of_cluster_containing_5
80,number_of_cluster_containing_10
81,number_of_cluster_containing_7
82,number_of_cluster_containing_9
83,number_of_cluster_containing_5
84,number_of_cluster_containing_1
85,number_of_cluster_containing_6
86,number_of_cluster_containing_1
87,number_of_cluster_containing_9
88,number_of_cluster_containing_8
89,number_of_cluster_containing_4
90,number_of_cluster_containing_2
91,number_of_cluster_containing_5
92,number_of_cluster_containing_9
93,number_of_cluster_containing_8
94,number_of_cluster_containing_4
95,number_of_cluster_containing_6
96,number_of_cluster_containing_7
97,number_of_cluster_containing_10
98,number_of_cluster_containing_8
99,number_of_cluster_containing_6
100,number_of_cluster_containing_11
101,number_of_cluster_containing_3
102,number_of_cluster_containing_4
103,number_of_cluster_containing_2
104,number_of_cluster_containing_4
105,number_of_cluster_containing_11
106,number_of_cluster_containing_4
107,number_of_cluster_containing_4
108,number_of_cluster_containing_6
109,number_of_cluster_containing_1
110,number_of_cluster_containing_4
111,number_of_cluster_containing_4
112,number_of_cluster_containing_4
113,number_of_cluster_containing_11
114,number_of_cluster_containing_10
115,number_of_cluster_containing_5
