1,number_of_cluster_containing_1
2,number_of_cluster_containing_1
3,number_of_cluster_containing_2
4,number_of_cluster_containing_1
5,number_of_cluster_containing_1
6,number_of_cluster_containing_1
7,number_of_cluster_containing_1
8,number_of_cluster_containing_1
9,number_of_cluster_containing_2
10,number_of_cluster_containing_2
11,number_of_cluster_containing_1
12,number_of_cluster_containing_1
13,number_of_cluster_containing_1
14,number_of_cluster_containing_1
15,number_of_cluster_containing_1
16,number_of_cluster_containing_1
17,number_of_cluster_containing_1
18,number_of_cluster_containing_1
19,number_of_cluster_containing_2
20,number_of_cluster_containing_2
21,number_of_cluster_containing_2
22,number_of_cluster_containing_2
23,number_of_cluster_containing_2
24,number_of_cluster_containing_2
25,number_of_cluster_containing_2
26,number_of_cluster_containing_2
27,number_of_cluster_containing_2
28,number_of_cluster_containing_2
29,number_of_cluster_containing_2
30,number_of_cluster_containing_2
31,number_of_cluster_containing_2
32,number_of_cluster_containing_2
33,number_of_cluster_containing_2
34,number_of_cluster_containing_2
